SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE,POC_TESTS,RTPCR_TESTS,VACCINE,AGE_0_9,AGE_10_19,AGE_20_29,AGE_30_39,AGE_40_49,AGE_50_59,AGE_60_69,AGE_70_79,AGE_80,AGRICULTURE,MINING,UTILITIES,CONSTRUCTION,MANUFACTURING,WHOLESALETRADE,RETAILTRADE,TRANSPORTATION,INFORMATION,FINANCEINSURANCE,REALESTATERENTAL,SCIENTIFICTECHNICAL,ENTERPRISEMANAGEMENT,WASTEMANAGEMENT,EDUCATION,HEALTHCARE,ART,FOOD,OTHER,ELDERLY,CHILD,INFECTED AGENTS
99974.0,6.0,5.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,26.0,19.0,0.0,3.0,300.0,1.0,3.0,1.0,3.0,4.0,3.0,2.0,6.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,9.0,4.0,"[[8564], [68332], [93323]]"
99973.0,7.0,4.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,7.0,27.0,20.0,0.0,3.0,300.0,1.0,3.0,1.0,3.0,4.0,3.0,2.0,6.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,10.0,4.0,[[8547]]
99967.0,6.0,8.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,8.0,33.0,25.0,0.0,6.0,300.0,1.0,3.0,4.0,3.0,5.0,4.0,2.0,7.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,2.0,1.0,11.0,4.0,"[[2633], [21538], [23516], [36475], [92525], [95245]]"
99959.0,7.0,12.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,10.0,41.0,31.0,0.0,8.0,300.0,1.0,3.0,4.0,7.0,6.0,4.0,4.0,8.0,4.0,0.0,0.0,0.0,5.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,2.0,1.0,12.0,4.0,"[[2505], [14814], [21584], [29660], [36504], [41665], [49716], [69180]]"
99948.0,10.0,17.0,2.0,6.0,5.0,0.0,0.0,0.0,0.0,12.0,52.0,40.0,0.0,4.0,300.0,1.0,3.0,5.0,10.0,7.0,8.0,4.0,9.0,5.0,0.0,0.0,0.0,6.0,3.0,0.0,5.0,1.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,7.0,0.0,3.0,1.0,14.0,4.0,"[[1850], [6170], [8600], [21018], [27616], [59361], [74117], [80932], [82877], [87128], [93305]]"
99941.0,13.0,16.0,2.0,7.0,6.0,0.0,0.0,0.0,0.0,15.0,59.0,44.0,0.0,9.0,300.0,3.0,4.0,5.0,11.0,7.0,9.0,6.0,9.0,5.0,1.0,0.0,0.0,7.0,4.0,0.0,6.0,1.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,7.0,0.0,3.0,1.0,14.0,7.0,"[[5972], [6065], [18024], [28406], [69214], [93324], [94194]]"
99930.0,17.0,16.0,4.0,9.0,3.0,2.0,0.0,0.0,0.0,19.0,70.0,51.0,0.0,6.0,300.0,4.0,4.0,5.0,13.0,9.0,13.0,7.0,10.0,5.0,1.0,0.0,0.0,8.0,5.0,2.0,7.0,2.0,3.0,1.0,0.0,3.0,0.0,1.0,1.0,9.0,0.0,3.0,1.0,15.0,8.0,"[[116], [916], [12543], [21588], [57155], [65904], [80642], [87962], [92513], [92549], [95244]]"
99920.0,22.0,17.0,2.0,12.0,4.0,1.0,0.0,0.0,0.0,22.0,80.0,58.0,0.0,9.0,300.0,4.0,4.0,5.0,16.0,14.0,14.0,8.0,10.0,5.0,1.0,0.0,0.0,9.0,5.0,2.0,7.0,3.0,5.0,2.0,0.0,4.0,0.0,2.0,1.0,9.0,0.0,6.0,1.0,15.0,8.0,"[[694], [2312], [29012], [29652], [36557], [39894], [56215], [63222], [91606], [93341]]"
99904.0,26.0,19.0,4.0,16.0,5.0,1.0,0.0,0.0,0.0,25.0,96.0,71.0,0.0,11.0,300.0,4.0,4.0,8.0,20.0,15.0,16.0,12.0,10.0,7.0,1.0,0.0,0.0,10.0,6.0,2.0,9.0,4.0,5.0,3.0,0.0,6.0,1.0,4.0,1.0,10.0,1.0,7.0,1.0,17.0,8.0,"[[6186], [8603], [21554], [22813], [23537], [24440], [27585], [35870], [36425], [36505], [38896], [39702], [42809], [85769], [95287], [99122]]"
99884.0,31.0,29.0,4.0,13.0,3.0,1.0,0.0,1.0,0.0,34.0,116.0,81.0,0.0,8.0,300.0,4.0,5.0,14.0,24.0,17.0,19.0,16.0,10.0,7.0,1.0,0.0,0.0,11.0,8.0,3.0,11.0,5.0,6.0,5.0,1.0,7.0,1.0,6.0,1.0,13.0,1.0,9.0,1.0,17.0,9.0,"[[684], [1823], [1853], [2479], [2515], [16743], [21004], [23502], [29246], [33057], [69149], [74099], [77156], [80927], [87124], [88018], [88782], [92320], [92514], [93310]]"
