SUSCEPTIBLE,ASYMPTOMATIC,PRESYMPTOMATIC_MILD,PRESYMPTOMATIC_SEVERE,MILD_SYMPTOMS,SEVERE_SYMPTOMS,HOSPITALIZED,CRITICAL_ICU,DEATH,HOSPITALIZED_RECOVERING,RECOVERED,INFECTED,ACTIVE,POC_TESTS,RTPCR_TESTS,VACCINE,AGE_0_9,AGE_10_19,AGE_20_29,AGE_30_39,AGE_40_49,AGE_50_59,AGE_60_69,AGE_70_79,AGE_80,AGRICULTURE,MINING,UTILITIES,CONSTRUCTION,MANUFACTURING,WHOLESALETRADE,RETAILTRADE,TRANSPORTATION,INFORMATION,FINANCEINSURANCE,REALESTATERENTAL,SCIENTIFICTECHNICAL,ENTERPRISEMANAGEMENT,WASTEMANAGEMENT,EDUCATION,HEALTHCARE,ART,FOOD,OTHER,ELDERLY,CHILD,INFECTED AGENTS
99757.0,56.0,74.0,11.0,37.0,8.0,0.0,0.0,0.0,0.0,57.0,243.0,186.0,0.0,0.0,300.0,7.0,14.0,33.0,44.0,51.0,31.0,32.0,24.0,7.0,1.0,0.0,1.0,9.0,17.0,13.0,24.0,7.0,25.0,3.0,4.0,12.0,2.0,11.0,2.0,34.0,2.0,20.0,4.0,31.0,21.0,"[[868], [1279], [2069], [5839], [5966], [9878], [9927], [9956], [10521], [10716], [12082], [13386], [14550], [15724], [19048], [34863], [37623], [42405], [42724], [42730], [43573], [48449], [51861], [53017], [53154], [55061], [57878], [58417], [59084], [61221], [68823], [74462], [74537], [74894], [75558], [79212], [79336], [90986], [92833], [93276], [93470], [95486], [97919]]"
99698.0,70.0,94.0,12.0,39.0,14.0,0.0,0.0,0.0,0.0,73.0,302.0,229.0,0.0,0.0,300.0,10.0,16.0,42.0,55.0,61.0,39.0,41.0,28.0,10.0,1.0,0.0,1.0,13.0,19.0,14.0,31.0,9.0,29.0,5.0,5.0,19.0,3.0,14.0,3.0,41.0,4.0,22.0,5.0,38.0,26.0,"[[816], [2093], [2206], [2757], [5276], [5741], [8462], [9916], [10271], [10450], [11662], [13333], [14110], [18423], [18722], [20301], [21484], [23424], [26120], [34919], [36452], [38052], [41289], [42721], [44420], [46503], [48322], [48327], [50904], [53047], [55890], [56163], [58004], [58837], [59243], [59503], [61212], [68738], [68973], [71026], [73338], [74274], [74856], [75385], [76395], [80384], [81935], [87156], [88539], [89057], [89124], [89380], [89383], [89419], [90583], [90715], [91663], [92470], [97272]]"
99640.0,85.0,105.0,17.0,56.0,10.0,0.0,0.0,0.0,0.0,87.0,360.0,273.0,0.0,0.0,300.0,12.0,16.0,55.0,65.0,70.0,46.0,51.0,33.0,12.0,1.0,0.0,1.0,19.0,21.0,18.0,35.0,14.0,32.0,6.0,5.0,29.0,3.0,18.0,3.0,46.0,5.0,24.0,7.0,45.0,28.0,"[[864], [917], [1249], [5819], [7521], [10532], [11553], [11571], [11928], [11980], [14774], [18427], [21970], [26990], [28321], [28940], [32392], [33075], [33669], [36475], [37953], [41311], [50945], [52688], [55116], [56031], [56177], [56207], [65330], [67235], [68188], [70083], [71027], [71821], [73287], [74899], [78913], [82433], [82987], [83617], [83702], [84113], [85559], [86889], [86927], [86984], [88245], [88406], [89172], [89191], [89829], [90572], [91391], [92879], [93688], [95223], [97917], [99367]]"
99551.0,97.0,141.0,23.0,65.0,11.0,0.0,0.0,0.0,0.0,112.0,449.0,337.0,0.0,0.0,300.0,17.0,23.0,65.0,82.0,82.0,58.0,65.0,36.0,21.0,1.0,0.0,1.0,22.0,29.0,20.0,39.0,17.0,39.0,9.0,7.0,38.0,5.0,21.0,3.0,55.0,6.0,30.0,10.0,57.0,40.0,"[[128], [884], [1587], [4863], [5707], [5840], [6537], [6615], [7906], [10070], [12276], [12871], [14156], [14557], [14602], [15147], [15901], [16213], [22388], [23386], [23536], [24813], [25676], [25686], [27154], [27195], [28913], [28937], [28941], [39649], [41055], [41250], [41444], [42617], [44485], [46554], [47041], [47398], [48547], [50698], [51144], [51560], [52108], [52726], [53670], [54087], [54864], [55662], [56175], [57028], [57737], [57746], [58335], [60891], [66476], [66860], [67801], [68544], [68825], [71667], [72484], [73968], [74779], [74810], [77725], [80596], [80809], [81387], [82415], [83920], [87108], [88374], [89155], [89410], [89418], [90609], [90652], [90719], [92460], [93063], [94175], [94198], [94894], [95242], [95253], [95402], [96015], [97567], [97782]]"
99467.0,120.0,161.0,24.0,73.0,11.0,3.0,0.0,0.0,0.0,141.0,533.0,392.0,0.0,0.0,300.0,22.0,29.0,81.0,99.0,94.0,68.0,72.0,43.0,25.0,2.0,0.0,1.0,26.0,34.0,21.0,46.0,20.0,44.0,12.0,9.0,48.0,8.0,24.0,4.0,62.0,6.0,37.0,10.0,68.0,51.0,"[[499], [1291], [5742], [5987], [8490], [8613], [8930], [9957], [11526], [11575], [12310], [14310], [14810], [15728], [15740], [15921], [17852], [17995], [20234], [21329], [24822], [25577], [27458], [27463], [29480], [30312], [31487], [35614], [36189], [36522], [37090], [37687], [37784], [41062], [41510], [42410], [42629], [42655], [44321], [44819], [45617], [46476], [47165], [48308], [50439], [50617], [50806], [51369], [54758], [56260], [58336], [59939], [60544], [64779], [64877], [66999], [67666], [68645], [69301], [70190], [71023], [73194], [73568], [73574], [74024], [74728], [76403], [79174], [82097], [83275], [84434], [86110], [87055], [89135], [89409], [89490], [91052], [91445], [91476], [91573], [91650], [94114], [94223], [95913]]"
99367.0,140.0,187.0,26.0,94.0,15.0,0.0,0.0,0.0,0.0,171.0,633.0,462.0,0.0,0.0,300.0,26.0,38.0,105.0,112.0,102.0,88.0,86.0,47.0,29.0,3.0,2.0,1.0,32.0,40.0,24.0,56.0,23.0,54.0,14.0,10.0,55.0,10.0,29.0,6.0,66.0,8.0,46.0,14.0,76.0,64.0,"[[991], [1307], [1373], [2760], [3166], [3867], [4054], [5958], [5967], [8068], [8622], [8784], [9401], [10517], [11665], [13325], [13390], [18044], [19982], [20294], [21224], [21318], [22161], [22999], [23375], [23415], [23564], [28452], [31410], [31508], [32587], [34229], [34658], [38871], [39975], [41978], [43478], [43568], [43591], [44418], [44497], [44681], [44904], [45616], [45627], [45642], [45812], [45967], [48309], [48473], [48542], [49423], [50683], [50727], [50893], [50902], [50954], [51686], [52060], [53005], [53006], [54064], [55025], [55898], [56055], [56076], [58249], [59501], [62190], [62645], [63047], [65329], [66396], [66716], [67597], [71659], [72268], [72513], [72551], [74449], [74905], [76409], [78645], [79233], [81535], [81994], [82716], [84894], [86015], [86540], [89416], [89828], [91399], [92035], [92498], [93383], [94196], [96254], [97203], [98170]]"
99218.0,165.0,232.0,50.0,109.0,17.0,0.0,0.0,0.0,0.0,209.0,782.0,573.0,0.0,0.0,300.0,30.0,46.0,127.0,138.0,127.0,110.0,111.0,59.0,34.0,3.0,2.0,1.0,42.0,52.0,31.0,65.0,26.0,65.0,20.0,15.0,68.0,11.0,37.0,6.0,76.0,12.0,58.0,23.0,93.0,76.0,"[[863], [1278], [2064], [2207], [2714], [3914], [6587], [6812], [8548], [9085], [9670], [9855], [9870], [9873], [9884], [10196], [10449], [10481], [10708], [11634], [11776], [11947], [12120], [13387], [13677], [14086], [14280], [15693], [15713], [16009], [18400], [19050], [19571], [21071], [22066], [22178], [22749], [23530], [23572], [27061], [28338], [28881], [29023], [29276], [29377], [30795], [31653], [31690], [33112], [33470], [33656], [33671], [35817], [37255], [37832], [37948], [38131], [39219], [40557], [41277], [41470], [41761], [42453], [44345], [44393], [44677], [46524], [47028], [47228], [47693], [50158], [50663], [50870], [50903], [52686], [53350], [55087], [55375], [56097], [56777], [57841], [58005], [58430], [59507], [59835], [61233], [62008], [62060], [63989], [64275], [64524], [64529], [65466], [66708], [66967], [67212], [67248], [67758], [68775], [69334], [71531], [71851], [73439], [74065], [74173], [74401], [74413], [75518], [75524], [75586], [76305], [76349], [78017], [78035], [78807], [79445], [80579], [80583], [80702], [80798], [82657], [83053], [83689], [83802], [85556], [85591], [85982], [86821], [86886], [86986], [86988], [88296], [88415], [88467], [89161], [90507], [90553], [90569], [90571], [90590], [92475], [92565], [94923], [95489], [96996], [97284], [97565], [97934], [97943]]"
99060.0,190.0,275.0,66.0,139.0,21.0,1.0,0.0,0.0,0.0,248.0,940.0,692.0,0.0,0.0,300.0,33.0,60.0,149.0,170.0,162.0,129.0,131.0,67.0,39.0,3.0,2.0,1.0,51.0,66.0,35.0,80.0,28.0,84.0,23.0,18.0,83.0,12.0,44.0,7.0,94.0,14.0,65.0,31.0,106.0,93.0,"[[166], [2555], [3163], [5717], [5811], [5814], [5869], [7095], [7520], [7670], [8061], [8768], [10151], [10587], [12814], [12852], [13111], [14736], [15063], [15461], [15837], [16620], [17625], [18688], [18954], [18980], [19045], [19180], [19264], [19386], [20213], [23236], [24180], [25370], [25942], [27207], [27486], [27723], [28318], [28912], [28955], [29047], [31504], [33497], [35355], [36388], [39822], [40034], [41248], [41286], [41355], [42238], [42654], [42694], [44012], [46092], [46491], [46502], [47071], [47284], [48377], [48394], [50276], [50550], [51051], [51860], [51869], [52694], [52696], [52698], [52748], [52755], [52830], [53020], [53244], [54356], [55218], [56002], [56228], [56318], [58326], [58734], [58978], [59179], [59526], [59992], [60001], [60534], [60893], [61273], [61704], [61899], [62371], [62731], [62979], [63371], [65041], [66720], [67046], [67929], [68456], [68543], [68974], [69072], [70032], [70913], [71112], [71644], [71804], [71825], [71948], [73731], [74314], [74494], [75292], [75733], [77249], [77766], [77937], [77964], [79711], [80454], [80484], [81273], [82066], [82431], [82456], [82877], [83900], [85406], [85553], [86092], [86232], [86860], [87158], [87593], [88408], [88521], [88734], [89119], [89336], [89427], [89665], [89708], [90460], [90560], [90717], [90725], [91402], [91446], [91525], [92176], [92455], [92752], [97498], [97832], [97964], [98402]]"
98883.0,231.0,311.0,79.0,162.0,27.0,1.0,0.0,0.0,0.0,306.0,1117.0,811.0,0.0,0.0,300.0,39.0,65.0,186.0,200.0,189.0,159.0,158.0,77.0,44.0,3.0,2.0,1.0,62.0,78.0,47.0,97.0,32.0,99.0,26.0,20.0,97.0,21.0,49.0,10.0,113.0,18.0,77.0,40.0,121.0,104.0,"[[1248], [1267], [1859], [4446], [4562], [5429], [6430], [6918], [7649], [8418], [8525], [8785], [8876], [8917], [8951], [9021], [9421], [9974], [10161], [10396], [10397], [10802], [11529], [12654], [13627], [13842], [14181], [14377], [15819], [15821], [16234], [16515], [17268], [17886], [18140], [18436], [20092], [21328], [21532], [23020], [23442], [24892], [25048], [25140], [25654], [26110], [27157], [27460], [28320], [28678], [30638], [30741], [31390], [31962], [33063], [33180], [33238], [33313], [33765], [35589], [36361], [37441], [37692], [37942], [37987], [41032], [41052], [41967], [42492], [42580], [42591], [43381], [44200], [44254], [45225], [45399], [45723], [45901], [46477], [46541], [49425], [49542], [50319], [50653], [50688], [52884], [53035], [53052], [53054], [53644], [53674], [54752], [55099], [56033], [56095], [56122], [56958], [57386], [58028], [58032], [58327], [58421], [59970], [60060], [60950], [61002], [61366], [61900], [63410], [64076], [64113], [65144], [66251], [66455], [67208], [67649], [67667], [68151], [68206], [68330], [69868], [69967], [70100], [70187], [70533], [71099], [71171], [71406], [72485], [73251], [74618], [74777], [74852], [74920], [75053], [76402], [77719], [78281], [79320], [80628], [80642], [82305], [82347], [82724], [82760], [82934], [83018], [83665], [84930], [85833], [85937], [86129], [86397], [86911], [86926], [87131], [87349], [88275], [88550], [89154], [89194], [89414], [89417], [89750], [90658], [91051], [91316], [91393], [91449], [92500], [92518], [93675], [94110], [94388], [97464], [97597], [99574]]"
98686.0,262.0,345.0,83.0,211.0,34.0,2.0,0.0,0.0,0.0,377.0,1314.0,937.0,0.0,0.0,300.0,46.0,77.0,221.0,239.0,216.0,195.0,184.0,86.0,50.0,4.0,2.0,1.0,73.0,91.0,56.0,122.0,37.0,112.0,33.0,21.0,111.0,25.0,62.0,11.0,137.0,22.0,92.0,43.0,136.0,123.0,"[[883], [887], [1875], [1950], [2127], [2208], [2675], [2984], [3161], [3860], [4877], [5235], [5273], [5784], [5965], [6987], [9197], [9251], [9594], [9653], [9978], [10067], [10490], [11527], [11577], [11700], [11719], [13540], [14196], [14295], [14540], [14772], [14773], [14777], [15072], [15104], [15243], [16215], [16224], [16631], [17201], [17652], [18007], [18897], [19187], [21226], [22213], [22345], [22391], [22904], [23158], [23198], [23279], [23333], [23339], [23412], [23414], [23552], [23730], [23807], [24270], [24792], [25079], [25429], [25578], [26119], [26989], [27324], [27510], [27584], [28700], [30212], [30586], [30780], [31213], [31620], [31691], [31746], [32440], [32469], [33001], [33175], [36524], [36893], [37269], [37406], [37933], [38142], [39243], [40220], [41516], [42925], [44089], [44507], [44867], [44928], [45583], [45644], [45799], [45802], [45972], [47162], [47874], [48540], [49761], [50225], [50372], [50744], [50820], [50891], [51679], [51683], [53030], [54022], [54593], [56316], [56389], [56901], [57901], [59045], [59538], [59932], [60533], [61174], [61196], [61716], [62511], [64197], [64442], [64643], [64678], [64919], [66471], [66679], [66836], [67007], [67247], [67833], [68159], [68180], [68669], [69837], [70128], [70148], [70379], [71840], [72687], [73106], [73486], [73578], [73971], [74001], [74101], [76197], [76549], [76822], [77209], [78166], [78601], [79280], [80461], [80615], [80857], [81537], [84165], [85417], [85449], [86210], [86924], [87076], [87297], [87403], [88204], [88977], [89381], [89446], [89478], [89489], [90741], [90913], [91518], [91644], [91671], [92145], [92507], [94858], [94953], [95490], [95914], [97080], [97237], [97635], [97801], [98633], [99208], [99223], [99855]]"
